City Name,Zone Name,CCTV Junction No.,CCTV Pole No.,CCTV LOCATION
Nagpur,Dhantoli,321,Pole 1,Mokshdham Ghat
Nagpur,Dhantoli,322,Pole 1,Underbridge near Vijay Talkies
Nagpur,Dhantoli,323,Pole 1,Cotton Market chowk
Nagpur,Dhantoli,323,Pole 2,Cotton Market chowk
Nagpur,Dhantoli,324,Pole 1,Agyaram Devi chowk
Nagpur,Dhantoli,325,Pole 1,Jadhav chowk
Nagpur,Dhantoli,325,Pole 2,Jadhav chowk
Nagpur,Dhantoli,326,Pole 1,North Side of Baidhnath Chowk
Nagpur,Dhantoli,326,Pole 2,North Side of Baidhnath Chowk
Nagpur,Dhantoli,327,Pole 1,North Side of Cotton Market Chowk
Nagpur,Dhantoli,328,Pole 1,North Side of Gandhisagar
Nagpur,Dhantoli,329,Pole 1,South Side of Gandhisagar
Nagpur,Dhantoli,330,Pole 1,West Side of  Gandhisagar
Nagpur,Gandhibagh,331,Pole 1,East Side of Gandhisagar
Nagpur,Dhantoli,332,Pole 1,Railway Station East Gate
Nagpur,Dhantoli,333,Pole 1,Santra Market
Nagpur,Lakadganj,334,Pole 1,Kapsi chowk
Nagpur,Ashi Nagar,335,Pole 1,Chikhali chowk
Nagpur,Lakadganj,336,Pole 1,Kapsi Over Brig Kapsi Under Bridge
Nagpur,Lakadganj,337,Pole 1,Kapsi Under Bridge
Nagpur,Lakadganj,337,Pole 2,Kapsi Under Bridge
Nagpur,Lakadganj,338,Pole 1,Outer Ring road Tarodi over bridge
Nagpur,Lakadganj,339,Pole 1,New Pardi Naka Bhandara road
Nagpur,Lakadganj,340,Pole 1,Pardi Bazar Hanuman Temple
Nagpur,Lakadganj,340,Pole 2,Pardi Bazar Hanuman Temple
Nagpur,Lakadganj,341,Pole 1,Bhandewadi Railway Station
Nagpur,Lakadganj,342,Pole 1,Punapur Road Ghatate Nagar chowk
Nagpur,Lakadganj,343,Pole 1,Subhan Nagar near Hanuman Temple
Nagpur,Lakadganj,344,Pole 1,Sharda chowk Netaji Nagar
Nagpur,Lakadganj,345,Pole 1,Bharatwada Road Near Nagpure School chowk
Nagpur,Lakadganj,346,Pole 1,Bharatwada Y Point
Nagpur,Lakadganj,347,Pole 1,Bharatwada Chowk
Nagpur,Lakadganj,348,Pole 1,Old Pardi Naka Chowk
Nagpur,Lakadganj,348,Pole 2,Old Pardi Naka Chowk
Nagpur,Lakadganj,349,Pole 1,Bharat Nagar chowk
Nagpur,Lakadganj,350,Pole 1,Kalamna Market chowk
Nagpur,Ashi Nagar,351,Pole 1,Kalamna Railway Gate
Nagpur,Lakadganj,352,Pole 1,Minimata Nagar chowk
Nagpur,Lakadganj,353,Pole 1,Depty Signal Relway Gate
Nagpur,Lakadganj,354,Pole 1,Depty Signal Udta hanuman Chowk
Nagpur,Ashi Nagar,355,Pole 1,Old Kamptee Road near Police chowky
Nagpur,Ashi Nagar,356,Pole 1,Old Kamptee Road near Reliance Petrol pump
Nagpur,Lakadganj,357,Pole 1,Dhargao Chowk
Nagpur,Satranjipura,358,Pole 1,Vitabhatti chowk
Nagpur,Satranjipura,358,Pole 2,Vitabhatti chowk
Nagpur,Satranjipura,359,Pole 1,Kanji house chowk
Nagpur,Satranjipura,359,Pole 2,Kanji house chowk
Nagpur,Ashi Nagar,360,Pole 1,Yashodhara chowk
Nagpur,Ashi Nagar,361,Pole 1,Vinoba Bhawe Nagar
Nagpur,Satranjipura,362,Pole 1,Namdev Nagar
Nagpur,Ashi Nagar,363,Pole 1,Shiv Arket Bhilgao
Nagpur,Ashi Nagar,364,Pole 1,Nag Lock
Nagpur,Ashi Nagar,365,Pole 1,Tulsa lawn
Nagpur,Ashi Nagar,366,Pole 1,Shivam Aparment
Nagpur,Ashi Nagar,367,Pole 1,Sajay Gandhi Nagar
Nagpur,Satranjipura,368,Pole 1,Panchwati Nagar
Nagpur,Satranjipura,369,Pole 1,Bohara Colony
Nagpur,Satranjipura,370,Pole 1,Jamdar Wadi
Nagpur,Satranjipura,371,Pole 1,Shahu Mohalla
Nagpur,Ashi Nagar,372,Pole 1,Wandevi Nagar Chowk
Nagpur,Ashi Nagar,373,Pole 1,Pili Nadi Chowk
Nagpur,Ashi Nagar,374,Pole 1,Mehbubpura
Nagpur,Ashi Nagar,375,Pole 1,Raja Chowk
Nagpur,Ashi Nagar,376,Pole 1,Transport Plaza
Nagpur,Satranjipura,377,Pole 1,Bara Nal Chowk
Nagpur,Satranjipura,378,Pole 1,Gosavi Akhada
Nagpur,Satranjipura,378,Pole 2,Gosavi Akhada
Nagpur,Satranjipura,379,Pole 1,Anand Nagar
Nagpur,Satranjipura,380,Pole 1,Jay Bhole Nagar
Nagpur,Ashi Nagar,381,Pole 1,Jay Bhim Chowk
Nagpur,Hanuman Nagar,382,Pole 1,Chintamani Nagar
Nagpur,Hanuman Nagar,383,Pole 1,Abhay nagar Backside of medical college
Nagpur,Hanuman Nagar,384,Pole 1,Infront of PS
Nagpur,Dhantoli,385,Pole 1,Suyog Nagar Chowk
Nagpur,Hanuman Nagar,386,Pole 1,Omkar Nagar Chowk
Nagpur,Hanuman Nagar,387,Pole 1,Rameshwari Chowk
Nagpur,Hanuman Nagar,388,Pole 1,Shatabadi Chowk
Nagpur,Dhantoli,389,Pole 1,Medical Chowk
Nagpur,Dhantoli,389,Pole 2,Medical Chowk
Nagpur,Dhantoli,389,Pole 3,Medical Chowk
Nagpur,Hanuman Nagar,390,Pole 1,Trisharan Chowk
Nagpur,Hanuman Nagar,391,Pole 1,Hanuman Nagar
Nagpur,Hanuman Nagar,392,Pole 1,Narendra Nagar
Nagpur,Hanuman Nagar,392,Pole 2,Narendra Nagar
Nagpur,Dhantoli,393,Pole 1,Netaji market Mehadiya Chowk
Nagpur,Laxmi Nagar,394,Pole 1,Shamtarka apt. javal
Nagpur,Dhantoli,395,Pole 1,Mehadiya Chowk to Panchshil Chowk
Nagpur,Dhantoli,396,Pole 1,Near Mount Carmal School 
Nagpur,Dhantoli,396,Pole 1,Ajni Chowk
Nagpur,Dhantoli,397,Pole 1,Anand talkies Chowk
Nagpur,Dhantoli,398,Pole 1,Yashwant Stedium
Nagpur,Dhantoli,398,Pole 2,Yashwant Stedium bus stop
Nagpur,Dhantoli,399,Pole 1,Dhantoli Garden Area
Nagpur,Laxmi Nagar,400,Pole 1,Mata Kacheri Chowk
Nagpur,Laxmi Nagar,400,Pole 2,Mata Kacheri Chowk
Nagpur,Laxmi Nagar,401,Pole 1,Devnagar Chowk
Nagpur,Dhantoli,402,Pole 1,Congress nagar T-Point Chowk
Nagpur,Dhantoli,403,Pole 1,Gajanan nagar Chowk
Nagpur,Laxmi Nagar,404,Pole 1,Rahate Colony Chowk
Nagpur,Dhantoli,405,Pole 1,Ajni Railway Station
Nagpur,Dhantoli,406,Pole 1,Ajit Bekari
Nagpur,Dhantoli,407,Pole 1,Chatrapati Chowk
Nagpur,Dhantoli,407,Pole 2,Chatrapati Chowk
Nagpur,Dhantoli,408,Pole 1,Sureteck Hospital Area
Nagpur,Dhantoli,409,Pole 1,Jail Road
Nagpur,Dhantoli,410,Pole 1,FCI Godawn
Nagpur,Laxmi Nagar,411,Pole 1,Surendra Nagar Garden
Nagpur,Dhantoli,412,Pole 1,Ajni Chowk Near Yashwant Chavhan Putala
Nagpur,Dhantoli,413,Pole 1,Dhantoli Police Station Chowk
Nagpur,Dhantoli,414,Pole 1,Sardar Patel Chowk
Nagpur,Dhantoli,414,Pole 2,Sardar Patel Chowk
Nagpur,Hanuman Nagar,415,Pole 1,Ashok Chowk
Nagpur,Hanuman Nagar,416,Pole 1,Ashok Chowk
Nagpur,Hanuman Nagar,417,Pole 1,Untakhana Chowk
Nagpur,Hanuman Nagar,417,Pole 2,Untakhana Chowk
Nagpur,Dhantoli,418,Pole 1,Jatatrodi Chowk
Nagpur,Hanuman Nagar,419,Pole 1,Ajni Over Bridge to Medical Chowk
Nagpur,Hanuman Nagar,420,Pole 1,Chandan Nagar Near Ramabai Garden
Nagpur,Dhantoli,421,Pole 1,Rambagh Colony
Nagpur,Nehru Nagar,422,Pole 1,Shyambagh area Sindhiban  Bada Tajbagh Chhota Tajbagh
Nagpur,Hanuman Nagar,423,Pole 1,Somwari Qrt. Old Qrt.of Vima Hospital.
Nagpur,Hanuman Nagar,424,Pole 1,Sakkardara Chowk
Nagpur,Hanuman Nagar,424,Pole 2,Sakkardara Chowk
Nagpur,Nehru Nagar,425,Pole 1,Sakkaradara fly over
Nagpur,Nehru Nagar,426,Pole 1,Bhande Plot Chowk
Nagpur,Nehru Nagar,426,Pole 2,Bhande Plot Chowk
Nagpur,Hanuman Nagar,427,Pole 1,Awari Chowk
Nagpur,Hanuman Nagar,427,Pole 2,Awari Chowk
Nagpur,Hanuman Nagar,428,Pole 1,Tukdoji Chowk
Nagpur,Hanuman Nagar,428,Pole 2,Tukdoji Chowk
Nagpur,Hanuman Nagar,429,Pole 1,Aurvedik Hospital Budhawari Bajar
Nagpur,Nehru Nagar,430,Pole 1,Chota Tajbagh Chowk
Nagpur,Nehru Nagar,431,Pole 1,Sakkardara Lack Garden
Nagpur,Nehru Nagar,432,Pole 1,Dattatray Nagar Garden Area
Nagpur,Nehru Nagar,433,Pole 1,Hussen Baba Dargah
Nagpur,Hanuman Nagar,434,Pole 1,Gajanan Highschool T-Point
Nagpur,Hanuman Nagar,434,Pole 2,Gajanan Highschool T-Point
Nagpur,Nehru Nagar,435,Pole 1,Chamat Chakki Chowk
Nagpur,Nehru Nagar,435,Pole 2,Chamat Chakki Chowk
Nagpur,Nehru Nagar,436,Pole 1,Buland Get Motha Tajbagh
Nagpur,Nehru Nagar,437,Pole 1,Shitala Mata Mandir Chowk
Nagpur,Nehru Nagar,437,Pole 2,Shitala Mata Mandir Chowk
Nagpur,Hanuman Nagar,438,Pole 1,Tukdoji Chowk to P.F. Office Road
Nagpur,Nehru Nagar,439,Pole 1,Buggewar Ashirwad nagar chowk
Nagpur,Hanuman Nagar,440,Pole 1,Reshimbagh N.I.T. Garden Area
Nagpur,Nehru Nagar,441,Pole 1,Shahensha Chowk
Nagpur,Hanuman Nagar,442,Pole 1,Budhwari Bajar Main Road
Nagpur,Hanuman Nagar,442,Pole 2,Budhwari Bajar Main Road
Nagpur,Hanuman Nagar,443,Pole 1,Tupkar Chowk
Nagpur,Hanuman Nagar,444,Pole 1,Old  Ayodhya  Nagar  Bus  Stop  to  Baseshwar Putala Chowk
Nagpur,Nehru Nagar,445,Pole 1,Mahakalkar Building to old Ayodhya Nagar Bus Stop
Nagpur,Nehru Nagar,446,Pole 1,Boolywood Center Point Hotel
Nagpur,Hanuman Nagar,447,Pole 1,Behine Shri. Binzani College gate Budhwar Bajar
Nagpur,Nehru Nagar,448,Pole 1,Om Nagar Area
Nagpur,Nehru Nagar,449,Pole 1,Darshan colony old building Shrikrishna nagar old building
Nagpur,Lakadganj,450,Pole 1,Sangharshnagar Deshpande layout
Nagpur,Lakadganj,451,Pole 1,Bhutbangala empty building
Nagpur,Lakadganj,452,Pole 1,Sangharsh Nagar Chowk
Nagpur,Nehru Nagar,453,Pole 1,K.D.K. college Chowk
Nagpur,Lakadganj,454,Pole 1,Opposite Area INOX Talkeis
Nagpur,Nehru Nagar,455,Pole 1,Nandanvan Main Road
Nagpur,Nehru Nagar,455,Pole 2,Nandanvan Main Road
Nagpur,Nehru Nagar,456,Pole 1,Opposite Area of Motha Tajbagh  same As buland gate
Nagpur,Lakadganj,457,Pole 1,Wathoda Chowk
Nagpur,Nehru Nagar,458,Pole 1,Opposite Area of Hasanbagh Police Chowky
Nagpur,Nehru Nagar,458,Pole 2,Opposite Area of Hasanbagh Police Chowky
Nagpur,Nehru Nagar,459,Pole 1,Hasanbagh Chowk
Nagpur,Nehru Nagar,459,Pole 2,Hasanbagh Chowk
Nagpur,Nehru Nagar,460,Pole 1,Aourangjeb Chowk Hasanbagh
Nagpur,Nehru Nagar,461,Pole 1,Kharbi Chowk
Nagpur,Nehru Nagar,461,Pole 2,Kharbi Chowk
Nagpur,Lakadganj,462,Pole 1,Jaybhim Chowk Hiwari Nagar
Nagpur,Nehru Nagar,463,Pole 1,Nadanvan Canal Road
Nagpur,Nehru Nagar,464,Pole 1,Gurudev nagar
Nagpur,Nehru Nagar,464,Pole 2,Gurudev nagar
Nagpur,Nehru Nagar,465,Pole 1,Ramana maroti Chowk Nagpur
Nagpur,Nehru Nagar,466,Pole 1,Opposite area of Vyankatesh Nagar Gate
Nagpur,Nehru Nagar,466,Pole 2,Opposite area of Vyankatesh Nagar Gate
Nagpur,Nehru Nagar,467,Pole 1,Shitala Mata Chowk
Nagpur,Nehru Nagar,468,Pole 1,Telephone Nagar Chowk Umred Road
Nagpur,Nehru Nagar,469,Pole 1,Backside of Sutgirani
Nagpur,Nehru Nagar,470,Pole 1,Narsala Kannad
Nagpur,Hanuman Nagar,471,Pole 1,Vihirgaon Bhogali Gotal
Nagpur,Hanuman Nagar,472,Pole 1,Besa Beltarodi road
Nagpur,Hanuman Nagar,473,Pole 1,Manewada Cement Road Jawahar Nagar Chowk
Nagpur,Hanuman Nagar,474,Pole 1,Manewada  Cement  Road  Vairagade Hospital Chowk
Nagpur,Hanuman Nagar,475,Pole 1,Manewada Chowk
Nagpur,Hanuman Nagar,475,Pole 2,Manewada Chowk
Nagpur,Hanuman Nagar,476,Pole 1,Besa Chowk
Nagpur,Hanuman Nagar,477,Pole 1,Beltarodi T-Point Chowk
Nagpur,Hanuman Nagar,478,Pole 1,Uday Nagar Chowk
Nagpur,Hanuman Nagar,478,Pole 2,Uday Nagar Chowk
Nagpur,Nehru Nagar,479,Pole 1,Mahalgi Nagar Chowk
Nagpur,Nehru Nagar,479,Pole 2,Mahalgi Nagar Chowk
Nagpur,Hanuman Nagar,480,Pole 1,Rajapeth Hudkeshwar Road
Nagpur,Hanuman Nagar,481,Pole 1,Pipala Chowk Hudkeshwar Road
Nagpur,Nehru Nagar,482,Pole 1,Gajanan Mandir Chowk Mahalgi Nagar
Nagpur,Nehru Nagar,482,Pole 2,Gajanan Mandir Chowk Mahalgi Nagar
Nagpur,Nehru Nagar,483,Pole 1,Dighori Chowk
Nagpur,Nehru Nagar,483,Pole 2,Dighori Chowk
Nagpur,Nehru Nagar,484,Pole 1,Dighori Naka Chowky
Nagpur,Nehru Nagar,485,Pole 1,Gajanan Highschool Chowk Juna Subhedar Lay- Out
Nagpur,Hanuman Nagar,486,Pole 1,Sharda Chowk
Nagpur,Hanuman Nagar,487,Pole 1,Sai Mandir Ayodhya Nagar
Nagpur,Hanuman Nagar,488,Pole 1,Swami Samartha mandir Besa
Nagpur,Hanuman Nagar,489,Pole 1,Shahu Nagar T-Point Manewada Besa Road
Nagpur,Nehru Nagar,490,Pole 1,Dighori Umred Road
Nagpur,Nehru Nagar,491,Pole 1,Mahalgi Nagar to New Narsala Road
Nagpur,Hanuman Nagar,492,Pole 1,Besa Chowk to Pipalagoan Road
Nagpur,Hanuman Nagar,493,Pole 1,Beltarodi to Shankarpur Goan Road
Nagpur,Hanuman Nagar,494,Pole 1,Wanjari Nagar T Point
Nagpur,Hanuman Nagar,495,Pole 1,Vima Hospital Square
Nagpur,Hanuman Nagar,495,Pole 2,Vima Hospital Square
Nagpur,Hanuman Nagar,496,Pole 1,Chintamani Nagar Part-2
Nagpur,Hanuman Nagar,497,Pole 1,Ramteke Nagar
Nagpur,Hanuman Nagar,498,Pole 1,Shiv Shakti Nagar
Nagpur,Hanuman Nagar,499,Pole 1,Venu Corner
Nagpur,Hanuman Nagar,500,Pole 1,Siddheshwar Mangal Karyalay Square
Nagpur,Hanuman Nagar,501,Pole 1,Krida Chowk
Nagpur,Hanuman Nagar,502,Pole 1,TB Ward
Nagpur,Hanuman Nagar,503,Pole 1,Kamble Chowk
Nagpur,Dhantoli,504,Pole 1,Medical College Main Gate
Nagpur,Hanuman Nagar,505,Pole 1,Manvata High School
Nagpur,Hanuman Nagar,506,Pole 1,Jadu Mahal Chowk
Nagpur,Dhantoli,507,Pole 1,Tiny Tots High School
Nagpur,Hanuman Nagar,508,Pole 1,Rajkamal Chowk
Nagpur,Hanuman Nagar,509,Pole 1,Ulhas Nagar Garden
Nagpur,Dhantoli,510,Pole 1,Barkute Layout
Nagpur,Dhantoli,511,Pole 1,Narendra Nagar Garden
Nagpur,Dhantoli,512,Pole 1,Sai Krupa Society
Nagpur,Dhantoli,513,Pole 1,Suyog Nagar Garden
Nagpur,Hanuman Nagar,514,Pole 1,Bhagwan Nagar Garden
Nagpur,Dharampeth,515,Pole 1,Futala Turning
Nagpur,Dharampeth,516,Pole 1,Futala Lake Centre
Nagpur,Dharampeth,516,Pole 2,Futala Lake Centre
Nagpur,Laxmi Nagar,517,Pole 1,Sir Vishwashourya Sqr
Nagpur,Laxmi Nagar,517,Pole 2,Sir Vishwashourya Sqr
Nagpur,Dharampeth,518,Pole 1,Gokulpeth Market Near Police Chowki
Nagpur,Laxmi Nagar,519,Pole 1,Tidke Junction
Nagpur,Laxmi Nagar,520,Pole 1,VNIT Yashwant Nagar Sqr
Nagpur,Laxmi Nagar,520,Pole 2,VNIT Yashwant Nagar Sqr
Nagpur,Laxmi Nagar,521,Pole 1,Ambazari T-Point Near Ambedkar Bhavan
Nagpur,Laxmi Nagar,522,Pole 1,VNIT Swimming pool
Nagpur,Dhantoli,523,Pole 1,Kruplani Chowk
Nagpur,Dhantoli,524,Pole 1,Sawarkar Garden
Nagpur,Dhantoli,525,Pole 1,Sai Mandir Back Side
Nagpur,Dhantoli,526,Pole 1,Hindustan Colony
Nagpur,Dhantoli,526,Pole 2,Hindustan Colony
Nagpur,Dhantoli,527,Pole 1,Sai Mandir Front Side
Nagpur,Dhantoli,528,Pole 1,New Dhantoli-FCI
Nagpur,Dhantoli,529,Pole 1,Front Side of ST Stand Main Gate ST Bus Stand
Nagpur,Dhantoli,530,Pole 1,Dalda Chowk Dalda Company
Nagpur,Dhantoli,531,Pole 1,Main Gate ST Bus Stand
Nagpur,Dhantoli,531,Pole 2,Main Gate ST Bus Stand
Nagpur,Dhantoli,531,Pole 3,Main Gate ST Bus Stand
Nagpur,Hanuman Nagar,532,Pole 1,Godrej Anandwan Turning
Nagpur,Dhantoli,533,Pole 1,Soukat Ali Chowk Haj House
Nagpur,Dhantoli,534,Pole 1,Ganesh Chowk
Nagpur,Dhantoli,535,Pole 1,Modern Mill
Nagpur,Gandhibagh,536,Pole 1,Moulana Malik Chowk
Nagpur,Hanuman Nagar,537,Pole 1,Kasibhai-Ganeshpeth
Nagpur,Dharampeth,538,Pole 1,Rural Entry T-Point
Nagpur,Nehru Nagar,539,Pole 1,Mayur Mangal Karyalay Chowk
Nagpur,Nehru Nagar,540,Pole 1,Mahavir Udyan Back Side
Nagpur,Hanuman Nagar,541,Pole 1,Keshav Dwar
Nagpur,Mangalwari,542,Pole 1,Ashirwad Nagar
Nagpur,Mangalwari,543,Pole 1,Bandhu Nagar Chowk
Nagpur,Mangalwari,544,Pole 1,Gaytri Nagar
Nagpur,Mangalwari,545,Pole 1,Mahajan Complex
Nagpur,Mangalwari,546,Pole 1,Passport Office Mankapur
Nagpur,Mangalwari,547,Pole 1,Shyam Lawn Chowk
Nagpur,Mangalwari,548,Pole 1,Utthan Nagar Y-Point
Nagpur,Mangalwari,549,Pole 1,Sharda Chowk Godhni
Nagpur,Mangalwari,550,Pole 1,Padmavati Nagar Chowk
Nagpur,Mangalwari,551,Pole 1,Gorewada new
Nagpur,Mangalwari,552,Pole 1,Godhani exit
Nagpur,Ashi Nagar,553,Pole 1,Behind Kamal Talkies
Nagpur,Satranjipura,554,Pole 1,Panchpaoli Garden First Fatak
Nagpur,Ashi Nagar,555,Pole 1,Siddharth Nagar Buddha Park
Nagpur,Ashi Nagar,556,Pole 1,Siddharth Nagar Chowk Road Near By Chaman Giri Baba Mandir
Nagpur,Ashi Nagar,557,Pole 1,Barse Ghat
Nagpur,Ashi Nagar,558,Pole 1,Saithan Chowk
Nagpur,Laxmi Nagar,559,Pole 1,IT Park
Nagpur,Laxmi Nagar,560,Pole 1,Mahatma Jyotibha Phule Krida Sankul
Nagpur,Hanuman Nagar,561,Pole 1,Baba Tajbagh Samos Ground Back Side
Nagpur,Nehru Nagar,562,Pole 1,Sindhiban Area
Nagpur,Nehru Nagar,563,Pole 1,Bada Tajbagh Y-Point
Nagpur,Nehru Nagar,564,Pole 1,Shyambagh Area
Nagpur,Nehru Nagar,565,Pole 1,PPF Officer Quarter
Nagpur,Dhantoli,566,Pole 1,Lokmat Square
Nagpur,Dhantoli,566,Pole 2,Lokmat Square
Nagpur,Dharampeth,567,Pole 1,Waddhamna Inside Godown Area
Nagpur,Dharampeth,568,Pole 1,Navnit Nagar Bus Stop
Nagpur,Dharampeth,569,Pole 1,Waddhamna Godown Exit Point
Nagpur,Dharampeth,570,Pole 1,Defence Sonegoan Nipponi
Nagpur,Hanuman Nagar,571,Pole 1,Dr. Babasaheb Ambedkar Jr. College
Nagpur,Dhantoli,572,Pole 1,Rajabaksh Hanuman Temple
Nagpur,Dhantoli,573,Pole 1,TB Ward PWD Office
Nagpur,Hanuman Nagar,574,Pole 1,Shiv Mandir
Nagpur,Dhantoli,575,Pole 1,TB Ward Area
Nagpur,Dhantoli,576,Pole 1,Imamwada Square
Nagpur,Laxmi Nagar,577,Pole 1,Sut Girni
Nagpur,Laxmi Nagar,578,Pole 1,Dental College Nagal Wadi
Nagpur,Laxmi Nagar,579,Pole 1,Ashtvinayak Impire
Nagpur,Laxmi Nagar,580,Pole 1,Nildho Area
Nagpur,Laxmi Nagar,581,Pole 1,Rajiv Nagar Police Chowki Zenda Chowk
Nagpur,Laxmi Nagar,582,Pole 1,Digdho
Nagpur,Laxmi Nagar,583,Pole 1,Maruti Agro
Nagpur,Laxmi Nagar,584,Pole 1,Rakshak Nagar Gedam Layout Wanadongri
Nagpur,Laxmi Nagar,585,Pole 1,Madhav Nagari
Nagpur,Laxmi Nagar,586,Pole 1,Ekatmata Nagar
Nagpur,Laxmi Nagar,587,Pole 1,Jaytala Area
Nagpur,Laxmi Nagar,588,Pole 1,Esasani Shanti Nagar
Nagpur,Dharampeth,589,Pole 1,Bajaj Steel T-Point Vimal Point
Nagpur,Dharampeth,590,Pole 1,Perfect Former C20 10
Nagpur,Dharampeth,591,Pole 1,Gandhi Nissan Service T-Point
Nagpur,Laxmi Nagar,592,Pole 1,PIX Company
Nagpur,Mangalwari,593,Pole 1,Koradi Mandir Maha Dwar
Nagpur,Mangalwari,594,Pole 1,Koradi Lake Both sode of Highway
Nagpur,Mangalwari,594,Pole 2,Koradi Lake Both sode of Highway
Nagpur,Mangalwari,595,Pole 1,KTPS Colony Gate No.1
Nagpur,Mangalwari,596,Pole 1,KTPS Colony Gate No.2
Nagpur,Mangalwari,597,Pole 1,Karemore Complex Sq. To Mahadula Tpoint Left side service road 1
Nagpur,Mangalwari,598,Pole 1,Karemore Complex Sq. To Mahadula Tpoint Left side service road 2
Nagpur,Mangalwari,599,Pole 1,Karemore Complex Sq. To Mahadula Tpoint Left side service road 3
Nagpur,Mangalwari,600,Pole 1,Srivas Nagar T-Point Devi Mandir
Nagpur,Nehru Nagar,601,Pole 1,Techpost Tower City
Nagpur,Nehru Nagar,602,Pole 1,Processes Sabhagruh
Nagpur,Nehru Nagar,603,Pole 1,Shiv Shakti Nagar Chowk
Nagpur,Nehru Nagar,604,Pole 1,kharbi chowki T point
Nagpur,Lakadganj,605,Pole 1,Dipti Signal Railway Crossing Small Factory Area
Nagpur,Lakadganj,606,Pole 1,Sambhavnath Jain Mandir Wardhman Nagar
Nagpur,Lakadganj,607,Pole 1,Shastri Nagar Chowk
Nagpur,Lakadganj,608,Pole 1,Kumbhar Toli Chowk
Nagpur,Lakadganj,609,Pole 1,Danaganj Chowk T-Point
Nagpur,Ashi Nagar,610,Pole 1,Tipu Sultan Chowk
Nagpur,Dhantoli,611,Pole 1,UCO Bank
Nagpur,Satranjipura,612,Pole 1,Universal Chowk
Nagpur,Satranjipura,613,Pole 1,RamSumer Baba Nagar
Nagpur,Satranjipura,614,Pole 1,Premnagar Shaktidham Ram Mandir
Nagpur,Satranjipura,615,Pole 1,Lalganj Sweeper Colony
Nagpur,Ashi Nagar,616,Pole 1,Bus Stand Chowk
Nagpur,Ashi Nagar,616,Pole 2,Bus Stand Chowk
Nagpur,Ashi Nagar,617,Pole 1,Chawdi Chowk
Nagpur,Ashi Nagar,618,Pole 1,Madan Chowk
Nagpur,Ashi Nagar,619,Pole 1,Kamsari Bazar Highway T-Point
Nagpur,Ashi Nagar,620,Pole 1,Bhaji Mandi
Nagpur,Ashi Nagar,621,Pole 1,Futana Oli Chowk
Nagpur,Ashi Nagar,622,Pole 1,Gol Bazar Parumal Chowk
Nagpur,Ashi Nagar,623,Pole 1,Warispura
Nagpur,Ashi Nagar,624,Pole 1,Pili Haveli
Nagpur,Ashi Nagar,625,Pole 1,Garud Chowk
Nagpur,Ashi Nagar,626,Pole 1,Shukrawari Bazar
Nagpur,Ashi Nagar,627,Pole 1,Goyal Chowk Talkies shukrawari bazar
Nagpur,Ashi Nagar,628,Pole 1,Chowadhary Hospital T-Point
Nagpur,Ashi Nagar,629,Pole 1,Ram Mandir Chowk
Nagpur,Ashi Nagar,630,Pole 1,Borkar Chowk
Nagpur,Ashi Nagar,631,Pole 1,Durga Chowk
Nagpur,Ashi Nagar,632,Pole 1,Nagsen Nagar Highway T-Point
Nagpur,Ashi Nagar,633,Pole 1,Haidari Chowk
Nagpur,Ashi Nagar,634,Pole 1,Shastri Munch
Nagpur,Ashi Nagar,635,Pole 1,Kadhar Zenda
Nagpur,Ashi Nagar,636,Pole 1,M.M. Rubani High School
Nagpur,Ashi Nagar,637,Pole 1,Kalsa Tall Chowk
Nagpur,Ashi Nagar,637,Pole 1,Asha Hospital beside J.N. Road
Nagpur,Ashi Nagar,638,Pole 1,Khaparkheda T-Point
Nagpur,Ashi Nagar,639,Pole 1,Moth Puliya Near Warispura Turning 
Nagpur,Ashi Nagar,640,Pole 1,Altaf Hotel Chowk Ismailpura
Nagpur,Ashi Nagar,641,Pole 1,Kamptee Police Station T-Point
Nagpur,Ashi Nagar,642,Pole 1,Kalmana T-Point
Nagpur,Ashi Nagar,643,Pole 1,Jai bhim Chowk
Nagpur,Ashi Nagar,645,Pole 1,Life Line Hospital Kalamna Road
Nagpur,Ashi Nagar,646,Pole 1,Pankaj Mangal Karyalay Chowk Ranala
Nagpur,Ashi Nagar,647,Pole 1,Ismailpura Masjid Chowk
Nagpur,Ashi Nagar,648,Pole 1,Jaistambh Chowk
Nagpur,Ashi Nagar,649,Pole 1,Jai bhawani Chowk
Nagpur,Ashi Nagar,650,Pole 1,Ramgarh Railway Crossing
Nagpur,Ashi Nagar,651,Pole 1,Railway Station Chowk
Nagpur,Ashi Nagar,652,Pole 1,S.K.Porwal College Chowk
Nagpur,Ashi Nagar,653,Pole 1,Dragon Palace Chowk
Nagpur,Ashi Nagar,654,Pole 1,Bhoyar College T-Point
Nagpur,Ashi Nagar,655,Pole 1,Ghorpad T-Point Yashodhara Nagar
Nagpur,Ashi Nagar,656,Pole 1,Naya Nagar T-Point
Nagpur,Ashi Nagar,657,Pole 1,Ajani Railway Crossing near 
Nagpur,Ashi Nagar,658,Pole 1,Tahsil office opp.Jail road
Nagpur,Ashi Nagar,659,Pole 1,Ranada Bhilgaon Road
Nagpur,Ashi Nagar,660,Pole 1,Dr. Ambedkar Ground
Nagpur,Ashi Nagar,661,Pole 1,Ghorpad Yerkheda Shiv Madhi Mandir Chowk
Nagpur,Ashi Nagar,662,Pole 1,Chhatrapati Shivaji Maharaj Chowk-Prabhag 16
