City Name,Zone Name,CCTV Junction No.,CCTV Pole No.,CCTV LOCATION
Nagpur,Dharampeth,73,Pole 1,Dattawadi Square
Nagpur,Dharampeth,74,Pole 1,Dattawadi Sarafa Bazar
Nagpur,Dharampeth,75,Pole 1,GuruDatta Socity
Nagpur,Dharampeth,76,Pole 1,PS Main Gate
Nagpur,Dharampeth,77,Pole 1,8 th Mail Road
Nagpur,Dharampeth,77,Pole 2,8 th Mail Road
Nagpur,Dharampeth,78,Pole 1,Ambedakar Nagar Square
Nagpur,Dharampeth,79,Pole 1,Davalamethi Road
Nagpur,Dharampeth,80,Pole 1,8 th Mail Market Road
Nagpur,Dharampeth,81,Pole 1,Waddhamna Square
Nagpur,Dharampeth,82,Pole 1,Surabaldi Gaon Tranign
Nagpur,Dharampeth,83,Pole 1,HighLand Park Tarnig
Nagpur,Dharampeth,84,Pole 1,Dhammakirtinagar
Nagpur,Laxmi Nagar,85,Pole 1,Outer ring road area 
Nagpur,Laxmi Nagar,85,Pole 1,Sonegaon Talav 
Nagpur,Laxmi Nagar,85,Pole 1,open place near to Talav
Nagpur,Laxmi Nagar,85,Pole 1, Shivangaon area
Nagpur,Dhantoli,86,Pole 1,Somalwada chowk
Nagpur,Dhantoli,87,Pole 1,Manish Nagar Railway
Nagpur,Dhantoli,88,Pole 1,Reliance Fresh
Nagpur,Hanuman Nagar,89,Pole 1,Purshottam Bazar Beltrodi
Nagpur,Hanuman Nagar,90,Pole 1,Padmavati T–Point
Nagpur,Dhantoli,91,Pole 1,Chinch bhvan bus stop
Nagpur,Laxmi Nagar,92,Pole 1,Sahkar Nagar
Nagpur,Dhantoli,93,Pole 1,Wardha road Rajiv Nagar Square
Nagpur,Dhantoli,94,Pole 1,Infront of Hotel Pride
Nagpur,Dhantoli,94,Pole 2,Infront of Hotel Pride
Nagpur,Laxmi Nagar,95,Pole 1,Bhende layout Square
Nagpur,Laxmi Nagar,95,Pole 2,Bhende layout Square
Nagpur,Laxmi Nagar,96,Pole 1,Trimurti chowk
Nagpur,Laxmi Nagar,96,Pole 2,Trimurti chowk
Nagpur,Laxmi Nagar,97,Pole 1,Sambhaji chowk
Nagpur,Laxmi Nagar,98,Pole 1,Padole chowk
Nagpur,Laxmi Nagar,99,Pole 1,Pratap Nagar chowk
Nagpur,Laxmi Nagar,99,Pole 2,Pratap Nagar chowk
Nagpur,Dhantoli,100,Pole 1,Coca Cola chowk
Nagpur,Dhantoli,100,Pole 2,Coca Cola chowk
Nagpur,Laxmi Nagar,101,Pole 1,Khamla market 
Nagpur,Laxmi Nagar,102,Pole 1,Khamla maton market chowk
Nagpur,Laxmi Nagar,103,Pole 1,Mokhare college
Nagpur,Laxmi Nagar,104,Pole 1,Jaytala bazaar chowk
Nagpur,Laxmi Nagar,105,Pole 1,Hingna T point
Nagpur,Laxmi Nagar,106,Pole 1,Mangalmurti chowk
Nagpur,Laxmi Nagar,106,Pole 2,Mangalmurti chowk
Nagpur,Laxmi Nagar,107,Pole 1,Shubhash nagar T pointVivekanand Statue
Nagpur,Laxmi Nagar,107,Pole 2,Shubhash nagar T point
Nagpur,Laxmi Nagar,108,Pole 1,Mate chowk
Nagpur,Laxmi Nagar,108,Pole 2,Mate chowk
Nagpur,Laxmi Nagar,109,Pole 1,Laxminagar chowk
Nagpur,Laxmi Nagar,109,Pole 2,Laxminagar chowk
Nagpur,Laxmi Nagar,110,Pole 1,Athat Rasta chowk
Nagpur,Laxmi Nagar,110,Pole 2,Athat Rasta chowk
Nagpur,Laxmi Nagar,111,Pole 1,Jerlly lawn
Nagpur,Laxmi Nagar,112,Pole 1,Savarkar nagar chowk
Nagpur,Laxmi Nagar,112,Pole 2,Savarkar nagar chowk
Nagpur,Dhantoli,113,Pole 1,Sneh nagar petrol pump
Nagpur,Dhantoli,114,Pole 1,Sneh nagar garden
Nagpur,Laxmi Nagar,115,Pole 1,Pande layout pani tanki
Nagpur,Laxmi Nagar,116,Pole 1,Gulmohar lawn
Nagpur,Laxmi Nagar,117,Pole 1,Rammandir swavalambi nagar
Nagpur,Laxmi Nagar,118,Pole 1,Survey nagar
